»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2017 - 11:21:43
Configured:	06/19/17 10:57:34 AM
Executed:	06/19/17 11:21:14 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.96e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	2.0 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-2
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
 238	1.1900e-001	2.2234	37.367337
 239	1.1950e-001	2.2810	37.464007
 240	1.2000e-001	2.3459	37.655199
 241	1.2050e-001	2.4009	37.790537
 242	1.2100e-001	2.4636	37.882911
 243	1.2150e-001	2.5225	38.031139
 244	1.2200e-001	2.5813	38.091289
 245	1.2250e-001	2.6418	38.196552
 246	1.2300e-001	2.7036	38.329742
 247	1.2350e-001	2.7641	38.443599
 248	1.2400e-001	2.8242	38.525231
 249	1.2450e-001	2.8827	38.660569
 250	1.2500e-001	2.9429	38.733609
 251	1.2550e-001	3.0004	38.894726
 252	1.2600e-001	2.9417	38.819538
 253	1.2650e-001	2.8819	38.727164
 254	1.2700e-001	2.8186	38.628346
 255	1.2750e-001	2.7589	38.609012
 256	1.2800e-001	2.7006	38.514490
 257	1.2850e-001	2.6392	38.447895
 258	1.2900e-001	2.5799	38.372707
 259	1.2950e-001	2.5200	38.271740
 260	1.3000e-001	2.4593	38.157884
 261	1.3050e-001	2.3994	38.080548
 262	1.3100e-001	2.3392	38.007508
 263	1.3150e-001	2.2792	37.932320
 264	1.3200e-001	2.2199	37.848540
 265	1.3250e-001	2.1613	37.693867
 266	1.3300e-001	2.0992	37.650903
 267	1.3350e-001	2.0425	37.556381
 268	1.3400e-001	1.9820	37.459710
 269	1.3450e-001	1.9207	37.356596
 270	1.3500e-001	1.8612	37.266370
 271	1.3550e-001	1.8017	37.212664
 272	1.3600e-001	1.7416	37.081623
 273	1.3650e-001	1.6793	36.961322
 274	1.3700e-001	1.6199	36.849614
 275	1.3750e-001	1.5592	36.662718
 276	1.3800e-001	1.4990	36.651977
 277	1.3850e-001	1.4417	36.591827
 278	1.3900e-001	1.3787	36.409227
 279	1.3950e-001	1.3185	36.295371
 280	1.4000e-001	1.2620	36.190108
 281	1.4050e-001	1.1978	36.031139
 282	1.4100e-001	1.1404	35.874319
 283	1.4150e-001	1.0786	35.831354
 284	1.4200e-001	1.0215	35.665941
 285	1.4250e-001	0.9606	35.554233
 286	1.4300e-001	0.9000	35.354448
 287	1.4350e-001	0.8395	35.216961
 288	1.4400e-001	0.7790	35.023621
 289	1.4450e-001	0.7211	34.849615
 290	1.4500e-001	0.6609	34.658422
 291	1.4550e-001	0.5997	34.381301
 292	1.4600e-001	0.5392	34.112773
 293	1.4650e-001	0.4821	33.816317
 294	1.4700e-001	0.4211	33.418895
 295	1.4750e-001	0.3584	32.849615
 296	1.4800e-001	0.2980	32.256704
 297	1.4850e-001	0.2395	31.354449
 298	1.4900e-001	0.1807	30.078402
 299	1.4950e-001	0.1205	28.557457
 300	1.5000e-001	0.0619	26.615460
 301	1.5050e-001	0.0020	24.319005
 302	1.5100e-001	-0.0558	21.612239
 303	1.5150e-001	-0.1186	18.654130
 304	1.5200e-001	-0.1753	15.350157
 305	1.5250e-001	-0.2373	11.854991
 306	1.5300e-001	-0.2942	8.140707
 307	1.5350e-001	-0.3549	4.271750
 308	1.5400e-001	-0.4158	0.267454
 309	1.5450e-001	-0.4761	-3.524167
 310	1.5500e-001	-0.5373	-7.126743
 311	1.5550e-001	-0.5986	-10.336195
 312	1.5600e-001	-0.6576	-13.229857
 313	1.5650e-001	-0.7180	-15.760468
 314	1.5700e-001	-0.7791	-18.074109
 315	1.5750e-001	-0.8395	-20.114925
 316	1.5800e-001	-0.8983	-21.960252
 317	1.5850e-001	-0.9594	-23.674537
 318	1.5900e-001	-1.0191	-25.236298
 319	1.5950e-001	-1.0799	-26.697093
 320	1.6000e-001	-1.1388	-27.992474
