»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.9.3
»»»  Vision Version:	5.9.8 (R)
»»»  Vision Compiled:	3/30/16
»»»  Driver Version:	5.9.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	11/14/2016 - 15:6:35
Configured:	11/14/16 02:58:19 PM
Executed:	11/14/16 03:05:20 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	4.91e-006
Sample Thickness (µm):	1.75e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	16.67 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	2.50
Field:	142.86 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
 147	1.4700e-001	1.4571	26.641433
 148	1.4800e-001	1.4680	27.507278
 149	1.4900e-001	1.4747	28.349948
 150	1.5000e-001	1.4866	29.238969
 151	1.5100e-001	1.4957	30.121501
 152	1.5200e-001	1.5063	31.040187
 153	1.5300e-001	1.5173	31.979267
 154	1.5400e-001	1.5282	32.952648
 155	1.5500e-001	1.5369	33.929737
 156	1.5600e-001	1.5467	34.904045
 157	1.5700e-001	1.5560	35.956223
 158	1.5800e-001	1.5678	36.959269
 159	1.5900e-001	1.5798	38.007739
 160	1.6000e-001	1.5884	39.050647
 161	1.6100e-001	1.5974	40.090774
 162	1.6200e-001	1.6091	41.113287
 163	1.6300e-001	1.6158	42.141363
 164	1.6400e-001	1.6263	43.129576
 165	1.6500e-001	1.6373	44.117790
 166	1.6600e-001	1.6457	45.030913
 167	1.6700e-001	1.6557	45.877291
 168	1.6800e-001	1.6664	46.673609
 169	1.6900e-001	1.6754	47.393911
 170	1.7000e-001	1.6876	48.027072
 171	1.7100e-001	1.6976	48.599049
 172	1.7200e-001	1.7057	49.097791
 173	1.7300e-001	1.7152	49.539984
 174	1.7400e-001	1.7272	49.898744
 175	1.7500e-001	1.7384	50.209299
 176	1.7600e-001	1.7489	50.492043
 177	1.7700e-001	1.7583	50.688573
 178	1.7800e-001	1.7684	50.906425
 179	1.7900e-001	1.7767	51.086269
 180	1.8000e-001	1.7876	51.241083
 181	1.8100e-001	1.7995	51.364378
 182	1.8200e-001	1.8053	51.517338
 183	1.8300e-001	1.8169	51.645268
 184	1.8400e-001	1.8263	51.774125
 185	1.8500e-001	1.8382	51.861266
 186	1.8600e-001	1.8462	51.963239
 187	1.8700e-001	1.8574	52.054088
 188	1.8800e-001	1.8679	52.136593
 189	1.8900e-001	1.8775	52.224661
 190	1.9000e-001	1.8872	52.319218
 191	1.9100e-001	1.8980	52.396161
 192	1.9200e-001	1.9081	52.468470
 193	1.9300e-001	1.9169	52.548194
 194	1.9400e-001	1.9267	52.624211
 195	1.9500e-001	1.9370	52.681687
 196	1.9600e-001	1.9492	52.741943
 197	1.9700e-001	1.9556	52.807763
 198	1.9800e-001	1.9680	52.869873
 199	1.9900e-001	1.9740	52.926422
 200	2.0000e-001	1.9857	52.965357
 201	2.0100e-001	1.9963	53.039520
 202	2.0200e-001	2.0061	53.133150
 203	2.0300e-001	2.0154	53.173939
 204	2.0400e-001	2.0265	53.230488
 205	2.0500e-001	2.0386	53.240685
 206	2.0600e-001	2.0464	53.317629
 207	2.0700e-001	2.0563	53.375104
 208	2.0800e-001	2.0657	53.422383
 209	2.0900e-001	2.0772	53.481713
 210	2.1000e-001	2.0865	53.479859
 211	2.1100e-001	2.0968	53.568854
 212	2.1200e-001	2.1066	53.613351
 213	2.1300e-001	2.1176	53.633746
 214	2.1400e-001	2.1266	53.690294
 215	2.1500e-001	2.1391	53.755186
 216	2.1600e-001	2.1466	53.774654
 217	2.1700e-001	2.1552	53.809881
 218	2.1800e-001	2.1665	53.861795
 219	2.1900e-001	2.1774	53.904438
 220	2.2000e-001	2.1870	54.002703
 221	2.2100e-001	2.1946	54.011047
 222	2.2200e-001	2.2077	54.050909
 223	2.2300e-001	2.2170	54.089844
 224	2.2400e-001	2.2270	54.101895
 225	2.2500e-001	2.2391	54.148247
 226	2.2600e-001	2.2486	54.183474
 227	2.2700e-001	2.2563	54.214993
 228	2.2800e-001	2.2690	54.239096
 229	2.2900e-001	2.2803	54.292863
 230	2.3000e-001	2.2869	54.340142
 231	2.3100e-001	2.2971	54.379077
 232	2.3200e-001	2.3079	54.408742
 233	2.3300e-001	2.3185	54.445823
 234	2.3400e-001	2.3271	54.483832
 235	2.3500e-001	2.3392	54.506080
 236	2.3600e-001	2.3466	54.553359
 237	2.3700e-001	2.3554	54.627521
