»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	5/16/2018 - 10:4:40
Configured:	05/15/18 08:22:15 PM
Executed:	05/16/18 10:04:20 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Field (kV/cm):	0.03
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
 304	3.0400e-001	236.778259	54.396553
 305	3.0500e-001	235.588074	54.452759
 306	3.0600e-001	234.291077	54.309691
 307	3.0700e-001	233.329773	54.355677
 308	3.0800e-001	231.925964	54.309691
 309	3.0900e-001	230.567932	54.652032
 310	3.1000e-001	229.957581	54.427211
 311	3.1100e-001	228.324890	54.345458
 312	3.1200e-001	227.294922	54.488526
 313	3.1300e-001	225.715637	54.018445
 314	3.1400e-001	224.754333	54.125746
 315	3.1500e-001	223.777771	54.396553
 316	3.1600e-001	222.259521	54.089979
 317	3.1700e-001	221.099854	54.100198
 318	3.1800e-001	220.039368	54.074650
 319	3.1900e-001	219.245911	54.488526
 320	3.2000e-001	217.689514	54.008225
 321	3.2100e-001	216.468811	53.957130
 322	3.2200e-001	215.209961	53.946911
 323	3.2300e-001	213.943481	54.049102
 324	3.2400e-001	212.699890	54.095088
 325	3.2500e-001	211.502075	54.391444
 326	3.2600e-001	210.166931	53.798733
 327	3.2700e-001	209.175110	53.768075
 328	3.2800e-001	208.038330	53.839609
 329	3.2900e-001	207.206726	54.059321
 330	3.3000e-001	205.474854	53.829390
 331	3.3100e-001	204.345703	53.803842
 332	3.3200e-001	203.208923	53.762966
 333	3.3300e-001	201.896667	53.604569
 334	3.3400e-001	200.737000	53.681213
 335	3.3500e-001	199.554443	53.563692
 336	3.3600e-001	198.341370	53.568802
 337	3.3700e-001	197.196960	53.701651
 338	3.3800e-001	196.479797	53.788514
 339	3.3900e-001	194.869995	53.517706
 340	3.4000e-001	193.634033	53.829390
 341	3.4100e-001	192.207336	53.497268
 342	3.4200e-001	191.352844	53.318433
 343	3.4300e-001	190.017700	53.282666
 344	3.4400e-001	188.796997	53.338871
 345	3.4500e-001	187.828064	53.400186
 346	3.4600e-001	186.378479	53.257118
 347	3.4700e-001	184.692383	53.114050
 348	3.4800e-001	184.135437	53.338871
 349	3.4900e-001	182.701111	52.879009
